ID	RT	Mass	R7S1	R7S2	R7S3	R7S4	R7S5	R7S6	R7S7	R7S8	R7S9	R7S10	R7S11	R7S12	R7S13	R7S14	R7S15	R8S1	R8S2	R8S3	R8S4	R8S5	R8S6	R8S7	R8S8	R8S9	R8S10	R8S11	R8S12	R8S13	R8S14	R8S15	R9S1	R9S2	R9S3	R9S4	R9S5	R9S6	R9S7	R9S8	R9S9	R9S10	R9S11	R9S12	R9S13	R9S14	R9S15
42	1,4675	72,994	2,1658	2,3632	2,36845	1,8232	2,1277	1,18085	1,99655	2,31065	1,9042	1,86885	2,116	2,22625	2,5692	2,39435	2,13885	3,0009	0	2,2735	1,99615	2,3792	2,41785	2,5511	2,3984	0,9729	1,98255	2,2268	2,5722	2,1815	2,54395	1,68045	2,17695	2,5397	2,80175	2,021	2,61545	1,86115	2,3925	1,67215	2,17005	2,72605	2,3263	2,0371	1,8278	2,5088	1,9257
43	6,005	72,9943	0,5097	0,11395	0	0	0	0	0	0	0,96365	0	0	0	0,67375	0,11505	0	0	0	0	0,4457	0	0	0	0	0	0	0	1,1822	0,54765	0	0	0	1,1515	0	0	0	0	0	0,481	1,31825	0,25395	0	0,4421	0,5714	0	0
44	2,2446	72,9943	1,0975	0	0	0,8254	1,0978	0,5896	1,14425	0,91605	1,57935	0	0	1,12915	0,7403	1,0545	0,59805	0	0	0,40755	1,1732	0,35105	0,51375	0,4863	1,40085	0,83075	1,346	0,56815	0,70625	0,5741	0	0,2547	0,5336	0	0	0	0	0,9015	1,47395	1,10355	1,86565	0,5814	0,7312	0,65515	0,4285	0,35475	0,4168
45	4,4325	72,9943	0	0	2,363	0	0	0	0	0	0	2,44645	1,59615	0	2,71605	0	2,7897	2,85065	5,1467	2,4996	2,4904	2,42735	2,6373	2,68385	0	0	0	2,92425	1,37585	0	2,83605	0	0	2,7846	2,4583	2,62345	2,7795	0	0	0	0	0	0	0	0	2,66285	0
46	3,8323	72,9944	0	0	4,63655	0	0	0	0	0	0	4,58315	0,0722	0	4,17565	0	4,65335	4,5184	8,7754	4,57535	3,98805	4,28075	4,33405	4,33825	0	0	0	4,7532	0,2479	0	4,25675	0	0	0	4,27295	4,69255	5,0566	0	0	0	0,0185	0	0	0	0	4,17455	0
47	2,3224	72,9945	0	0	0,6117	0	0	0	0	0	0	0,63585	0,56135	0	0,9356	0	0,55665	0,57055	0	0,6911	0,59875	0,7745	0,59655	0,6023	0	0	0	0,6964	0,9065	0	0,8588	0	0	1,6588	0,6885	0,51065	0,628	0	0	0	0	0	0	0	0	0,5956	0
48	3,1473	72,9948	0	0	0	0	0	0	0	0	0	0,5338	0,84515	0	0,4579	0	0,54685	0	0,209	0	0	0,60185	0,47315	0,4755	0	0	0	0,44845	0,86795	0	0,44505	0	0	1,5063	0,5689	0,49425	0,5318	0	0	0	0	0	0	0	0	0,41015	0
49	1,5128	73,0302	29,44805	19,7023	21,88105	31,8	31,91595	25,72545	26,2055	21,63335	28,07865	28,16815	23,621	27,2449	32,6052	21,12045	27,56475	24,2511	5,0713	21,04145	28,81345	41,7162	24,82245	24,15345	21,0584	22,14315	27,0397	29,28285	35,6877	32,2855	22,0584	25,4277	25,20665	41,174	25,1355	26,8223	38,9909	25,041	23,7856	25,5904	34,369	20,98545	24,03405	22,5737	33,70295	30,35465	23,82
50	1,1546	73,0302	0,50555	1,11085	0,55305	0	0	0	0,59635	0,38005	0,4446	0	1,1549	0	0,63705	0,4771	0,6143	0,70985	1,6692	0	1,189	0	1,4043	0	0,93545	0,43535	0,43685	1,27405	1,74795	0,8707	0	0	1,15735	1,7103	0	1,1832	1,09455	0,54825	0,567	0	0,97115	0,40935	0,41765	0,5814	0,9265	0,4795	0,5151
51	1,0891	73,9995	1,6567	1,72105	1,32915	1,3731	1,2036	1,4116	1,25325	1,4295	1,3953	1,5084	2,1055	1,6168	1,36715	1,2677	1,88215	1,2098	1,2775	1,52385	1,3061	1,48215	1,43425	1,6285	1,3824	1,20445	1,2945	1,4131	1,33725	1,3819	1,4467	1,83945	1,381	1,4137	1,57845	1,35245	1,3852	1,36005	1,5154	1,5364	1,43065	1,52135	1,50515	1,48055	1,3896	1,41905	1,119
