ID	m/z	1790_NEG_D4	1789_NEG_D4	1788_NEG_D4	1787_NEG_C1	1786_NEG_C1	1785_NEG_C2	1784_NEG_D4	1783_NEG_D4	1782_NEG_D4	1781_NEG_C2	1780_NEG_unknown	1779_NEG_C2	1778_NEG_C2	1777_NEG_D4	1776_NEG_D4	1775_NEG_C1	1774_NEG_C2	1773_NEG_C2	1772_NEG_D4	1771_NEG_D4	1770_NEG_C1	1769_NEG_C2	1768_NEG_C2	1767_NEG_C1	1765_NEG_D3	1764_NEG_D4	1763_NEG_D4	1762_NEG_D4	1760_NEG_D4	1759_NEG_D4	1758_NEG_D4	1757_NEG_D4	1756_NEG_C1	1755_NEG_D4	1754_NEG_D3	1753_NEG_C1	1752_NEG_C1	1751_NEG_D3	1750_NEG_D4	1749_NEG_D4	1748_NEG_D4	1747_NEG_D4	1746_NEG_C1	1745_NEG_D4	1744_NEG_D4	1743_NEG_D4	1742_NEG_C1	1741_NEG_D4	1740_NEG_C2	1739_NEG_D4	1738_NEG_C1
12186	424.0248907	0	0	0	0	0	13464791	0	0	0	0	12846548	8309207.1	0	15846414	0	0	0	0	16749695	0	9327402.7	5730945.6	0	6013522.5	0	0	23446037	6212389.7	0	0	0	0	0	0	0	5235734.4	13842685	0	0	0	0	0	0	0	0	0	0	0	7568100.1	0	17405133
12187	424.031978	0	0	0	0	0	0	7051949.8	9267998.4	14276132	7200608.5	7146458.4	0	17378313	5584912.5	5570206.1	0	0	0	0	0	0	0	0	8355418	0	6009630.2	0	0	0	5827282.3	8087018.5	7935324.7	6180586.6	0	0	0	5565570.8	9515358	0	20730275	6094175	0	0	0	7421954.1	10607260	0	0	0	0	0
12188	424.0391377	0	0	0	0	0	0	8250036.5	0	6031402.4	0	0	5556452.1	8292367.4	0	0	6403837.5	6198303.1	0	0	0	0	5658766.9	7480513.2	6021985.2	0	0	0	0	0	0	5706992.2	0	9962225.5	0	0	0	0	0	0	0	0	0	0	0	7096072.8	0	0	0	6076910.3	0	0
12189	424.0427333	0	0	6156045.1	0	0	0	0	0	0	0	0	0	0	8198676.6	11985062	0	0	0	8724108.7	0	0	0	0	0	0	0	0	0	0	7561820.7	0	0	0	0	0	0	0	0	0	0	0	9788771.2	0	0	0	0	0	0	0	0	0
12190	424.0490808	124098770	55182008	25361938	45216638	48817980	30747882	26956990	6687021.5	28923443	13433206	47113706	12905965	10148377	60813335	31544491	22528519	19260455	17688468	111227030	45623095	30028606	9523352.4	10352328	10689643	257295780	66688813	46535209	16422197	62452883	147452510	30867192	97231212	23832827	59067960	80656651	30620707	72933649	37753196	48965424	23821745	62808679	20697961	50364452	56812912	65415441	25737385	69977030	56546669	31217397	24622911	192709860
12191	424.0555869	109082840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36679579	10999958	151355200	0	0	0	0	1140049300	0	0	0	208430230	0	0	0	0	51748413	112777490	0	0	0	0	0	12444266	16905071	13881386	912962930	49330455	20528302	0	0	14769914	888072000	0
12194	424.0651118	633919710	0	0	0	0	0	0	0	6019647.7	0	0	0	0	0	6098615.6	0	9812530.7	124190630	27918493	594460490	0	0	0	0	5044422100	0	0	0	780444830	11526770	0	9728378.5	0	31651396	899160340	0	0	0	0	0	0	137347960	89530418	664745340	159361310	160663730	0	42386807	44818177	692676420	9000172.5
12199	424.1070808	7697675.2	9441512	6176829.2	5569461.2	0	0	0	0	0	0	0	0	0	5015854.2	7173336.5	0	0	0	15021244	0	0	0	0	0	0	0	6345305.4	0	0	0	6191397.8	22527393	0	0	0	0	16478528	0	8145759.2	0	0	0	0	0	0	0	0	0	0	0	10666253
12200	424.1110367	0	9657579.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5903444.7	0	0	0	0	0	0	0	0	6591841	0	9327453.1	0	0	0	0	0	0	0	0	12090691	9793436.9	8461154.5	0	0	5760929.6	0	0	0	0	0	0	0	0	9093904.2
12201	424.1249197	7009564.4	0	13898315	0	0	7578406.1	0	0	6163568.8	0	7587885.7	6580788.3	8259681.5	0	19636454	0	16302175	0	0	9497982.9	0	5808607.2	8565503.4	11656886	18878938	0	15637096	5825381.9	0	7508905.3	27537204	9280433.2	7412031.7	0	28092742	5182793.7	11109199	15898024	22999918	8696814.1	0	18856878	0	0	0	10407141	16075767	6255003.9	0	0	0
